image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001089.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Mitä papereilla lukee?\
When the provided information is insufficient, respond with 'ei voida vastata'.\
Answer the question in Finnish using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['ei voida vastata', 'Australia Post', 'postitusta', 'ei voida vastata', 'Australia Post', 'Australia Post', 'Australia Post', 'Australia Post', 'ei voida vastata', 'Australia Post']	australia post
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000603.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Voisitko kertoa, mitä näissä tietokoneissa on?\
When the provided information is insufficient, respond with 'ei voida vastata'.\
Answer the question in Finnish using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['Ilmatunnisteet', 'Aloitusikkuno', 'työpöytä', 'kellot', 'kellot', 'Kuvat', 'Työpöydän kuvakkeet', 'ei voida vastata', 'Työpöydän kuvakkeet', 'Kuvat']	ei voida vastata
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00002074.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Mikä levy tämä on?\
When the provided information is insufficient, respond with 'ei voida vastata'.\
Answer the question in Finnish using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['tyhjä', 'tyhjä cd', '- Maxwellistä .', 'Maxell CD r', 'tyhjä', 'tyhjä', 'huopa', 'tyhjä', 'tyhjä', 'Maxell']	ei voida vastata
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00001467.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Mikä kuva on?\
When the provided information is insufficient, respond with 'ei voida vastata'.\
Answer the question in Finnish using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
	['jalka', 'jalka', 'jalka naarmu', 'jalka', 'jalka', 'jalka', 'jalka', 'jalka', 'jalka', 'jalka']	Ei voida vastata.
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00004201.jpg	<|im_start|>system\
You are a helpful assistant.<|im_end|>\
<|im_start|>user\
<|vision_start|><|image_pad|><|vision_end|>Question: Voisitteko kertoa, mitä tämä voi on?\
When the provided information is insufficient, respond with 'ei voida vastata'.\
Answer the question in Finnish using a single word or phrase.<|im_end|>\
<|im_start|>assistant\
