image_path	prompt	question_type	video_type	ground_truth	is_assistive_object	response
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--my-front-door--clean--2D_XdH9ZJFxF8E7wuv-vnJRhWRPGINjWY6X5Cy0jtU8.mp4	What type of entrance or opening can be seen in the video?	O	clean	['front door']	False	door
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--my-front-door--clean--KFgvDngh66R6-GCkob0jtePAQn8g46pAVUlz0FClNPQ.mp4	What type of entrance or opening can be seen in the video?	O	clean	['front door']	False	door
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--remote-control--clean--JgIj6KKKgJL3nwMiKeMLAkwVkrOGr7X6iNte1N757ZA.mp4	What type of TV accessory in the video?	O	clean	['remote control']	False	Remote control
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--remote-control--clean--7LXVVKDf2XMOxtg6S6fw4nIq6PZmE7oD2RhF18SD4OQ.mp4	What type of TV accessory in the video?	O	clean	['remote control']	False	Remote control
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--front-door-keys--clean--Y64QiTTCq9IiIIMviircYbL50nwPMNoSDSxolTHMk5Y.mp4	What type of security-related item did you see?	O	clean	['front door keys']	False	Key
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--front-door-keys--clean--tIpbdTq5Z34cFSZ-E_ekoRASvibbEFzhjD-WGDB7v9Q.mp4	What type of security-related item did you see?	O	clean	['front door keys']	False	Key
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--hairbrush--clean--tzzk2l68VN5BHhFDkXDJQPIM1VyOIkkTVK4uPrjD8EU.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	Brush
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--hairbrush--clean--0ANEwc2Yo4yc4d2Z0YpSxqM4wcMigjOHYSYHyiREb2M.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	Brush
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--vdafyWZrS5IyrhcCL1no9t-Waj-Tv9jYwEW-XOoyc_0.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	Brush
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--RQe-Hgn0Mb3e34GM48mb62Q9lZzebKIgY405uL2Pldc.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	Brush
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--Xx5npZHjjD_0xBW2XTS1ljC4gHoyEvEqqLOtB-8d_pE.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	Brush
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--phone-charger--clean--SSE4cxHh66RoknqEVi3O1lwz0-kOTIzOPmYFqN32t1g.mp4	What type of electronic accessory is being shown?	O	clean	['phone charger']	False	not enough information
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--phone-charger--clean--f7AtVoylRzw1KO0ahQjp6kiE60FdpKuxjLWxlriFPg4.mp4	What type of electronic accessory is being shown?	O	clean	['phone charger']	False	Wire
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--toddler-cup--clean--1UHwUdsgUePxsf-IK3FZkkHRswscpw2-Dtx7Kxe7-gU.mp4	What type of container appears in the video?	O	clean	['toddler cup']	False	Cup
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--toddler-cup--clean--0JySP0KOcCxjYv_jdlT--pxlGIBpeuxSg33UAIPrz_8.mp4	What type of container appears in the video?	O	clean	['toddler cup']	False	Plastic cup
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--boot--clean--syKA3OOR4xYhFGbOTxlAIxUcitj5K0NfnRwqQRXrYOs.mp4	What type of clothing do you see in the video?	O	clean	['boot']	False	Not enough information
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--boot--clean--sdjw08wizgOMbwDCzRKrvp4CeAZVnLLuUfLcDXIrHYI.mp4	What type of clothing do you see in the video?	O	clean	['boot']	False	Boot
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--sock--clean--STMZ0VFuowyEaiXsf477h_IvbKDp7pxMUu2Do04lC3w.mp4	What type of clothing do you see in the foreground of the video?	O	clean	['sock']	False	Sweater
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--sock--clean--GPgRlu6jKX_pVGFR6PgnsNOsLVZiR7pMYWpykHZoAHw.mp4	What type of clothing do you see in the foreground of the video?	O	clean	['sock']	False	Socks
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--headphones--clean--SNQQAWCb6HKJo-qYPVop9foMSrm1nalmzQCxPXQdpHg.mp4	What type of audio accessory appears in the video?	O	clean	['headphones']	False	Headphones
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P609--headphones--clean--gsScKNjkRESWWLudjCOyVO_zXpg5c3J0uaU1UnfvVYs.mp4	What type of audio accessory appears in the video?	O	clean	['headphones']	False	Earbud
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P609--headphones--clean--jGxCf102DOIXd7zOXsFH1pG_5D3ZF0E9v3EhqhSZqLQ.mp4	What type of audio accessory appears in the video?	O	clean	['headphones']	False	Earbud
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P999--headphones--clean--oJE1bseft_DOcyIwNxqGQqrYUKdtembYTEbhk1AqDXM.mp4	What type of audio accessory appears in the video?	O	clean	['headphones']	False	Earphones
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P999--headphones--clean--29gw_0RBDJdtsrkA1SNljrq6KZ2kbkGiudLqx9LRTJY.mp4	What type of audio accessory appears in the video?	O	clean	['headphones']	False	Earphones
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--car--clean--pVifRcGX0TqpK8uG_0fyIBCKIT_xNEt8R0kqU3-ni0o.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	Car
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--car--clean--iP0juzsJfCpts0VPZE847ajC35PONx4U7WBgw6kbwb4.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	CarThe image shows a car parked on a street with a house in the background.
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P900--car--clean--AbPOAfuILw0rEr93mFKZjZwUOUOojuPOSll7UQUwywo.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	Car
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P900--car--clean--r6EUuzn38pjZs4fxTKvbloUK24nU5buRzil9VaEdDf4.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	Car
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P141--car--clean--mlRboPdE8AbwzHYTw4w1Plwqmhsh75rirSMFkeVandA.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	Car
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P141--car--clean--hMupQfv0FJm7m5y_yezHB66o0QTu9NEcQO_QACQ9jzE.mp4	What type of vehicle is visible in the video?	O	clean	['car']	False	not enough information
