image_path	prompt	question_type	video_type	ground_truth	is_assistive_object	response	acc
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--my-front-door--clean--2D_XdH9ZJFxF8E7wuv-vnJRhWRPGINjWY6X5Cy0jtU8.mp4	What type of entrance or opening can be seen in the video?	O	clean	['front door']	False	door	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--my-front-door--clean--KFgvDngh66R6-GCkob0jtePAQn8g46pAVUlz0FClNPQ.mp4	What type of entrance or opening can be seen in the video?	O	clean	['front door']	False	door	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--remote-control--clean--JgIj6KKKgJL3nwMiKeMLAkwVkrOGr7X6iNte1N757ZA.mp4	What type of TV accessory in the video?	O	clean	['remote control']	False	remote	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--remote-control--clean--7LXVVKDf2XMOxtg6S6fw4nIq6PZmE7oD2RhF18SD4OQ.mp4	What type of TV accessory in the video?	O	clean	['remote control']	False	remote	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--front-door-keys--clean--Y64QiTTCq9IiIIMviircYbL50nwPMNoSDSxolTHMk5Y.mp4	What type of security-related item did you see?	O	clean	['front door keys']	False	key	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--front-door-keys--clean--tIpbdTq5Z34cFSZ-E_ekoRASvibbEFzhjD-WGDB7v9Q.mp4	What type of security-related item did you see?	O	clean	['front door keys']	False	key	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--hairbrush--clean--tzzk2l68VN5BHhFDkXDJQPIM1VyOIkkTVK4uPrjD8EU.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	brush	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--hairbrush--clean--0ANEwc2Yo4yc4d2Z0YpSxqM4wcMigjOHYSYHyiREb2M.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	brush	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--vdafyWZrS5IyrhcCL1no9t-Waj-Tv9jYwEW-XOoyc_0.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	brush	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--RQe-Hgn0Mb3e34GM48mb62Q9lZzebKIgY405uL2Pldc.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	brush	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P177--hairbrush--clean--Xx5npZHjjD_0xBW2XTS1ljC4gHoyEvEqqLOtB-8d_pE.mp4	What type of grooming tool is visible in the video?	O	clean	['hairbrush']	False	brush	1.0
/mnt/ceph_rbd/visual-assistant-eval/tasks/orbit_video_question_answering/data/videos/P867--phone-charger--clean--SSE4cxHh66RoknqEVi3O1lwz0-kOTIzOPmYFqN32t1g.mp4	What type of electronic accessory is being shown?	O	clean	['phone charger']	False	charger	1.0
