image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000000.jpg	answer en Ok. There is another picture I hope it is a better one.	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'cannot repair this computer automatically', 'blank screen']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000001.jpg	answer en Can you tell me what this medicine is please?	['no', 'unanswerable', 'night time', 'unanswerable', 'night time', 'night time cold medicine', 'night time', 'night time', 'night time', 'night time medicine']	night time
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000002.jpg	answer en What is the title of this book? 	['dog years', 'dog years: memoir', 'dog years', 'dog years', 'dog years', 'dog years', 'dog years', 'dog years', 'dog years', 'dog years']	dog years
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000003.jpg	answer en Which one is the blue one?	['right', 'right', 'right', 'omni sorb', 'right', '1 on right', 'on right', 'right', 'right 1', 'right 1']	right
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000004.jpg	answer en What does the arrow say?	['unanswerable', 'unanswerable', 'zoomtext', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'zoomtext']	ok
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000005.jpg	answer en What the screen says? Thank you.	['unanswerable', 'unanswerable', 'dell', 'windows 7', 'windows 7', 'dell windows home premium', 'windows 7 home premium', 'windows 7', 'unanswerable', 'windows dell']	windows
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000006.jpg	answer en What is seen on the laptop screen? What is seen on the laptop screen?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000007.jpg	answer en Okay I think I got it this time. Can you read the model and serial number for me? Thanks.	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000008.jpg	answer en Is this shampoo or conditioner?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000009.jpg	answer en Can you describe for me what's going on outside the window? Just curious.	['store front', 'unanswerable', 'nothing going outside window just building windows sign to right', 'yes', 'nothing', 'nothing', 'nothing', 'nothing', 'sun shining on building on corner trees next to', 'building']	building
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000010.jpg	answer en What about the signery.	['unanswerable', 'unanswerable', 'political', 'man', 'unanswerable', 'no clue', 'unanswerable', 'unanswerable', 'unanswerable', 'blue man in on building']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000011.jpg	answer en What color is this	['white', 'white', 'white', 'white', 'white', 'white', 'light purple', 'white', 'light purple', 'white']	white
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000012.jpg	answer en This piece of mail for and where is it from?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'cannot see full size envelope on this image', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000013.jpg	answer en Who is this mail for?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'dont know', 'unanswerable', 'unanswerable', 'no idea', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000014.jpg	answer en What does my eye look like?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'crazy', 'unanswerable', 'unanswerable', 'shiny', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000015.jpg	answer en Which one of these items is the children's dictionary? Is it the one on the right, or the one on the left?	['left', 'left', 'left', 'left', 'left', 'right', 'left', 'left', 'left', 'left']	right
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000016.jpg	answer en What is this?	['finger', 'unanswerable', 'unanswerable', 'person', 'unanswerable', 'unanswerable', 'unanswerable', 'instructions', 'thumb', 'finger']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000017.jpg	answer en Can you see if this is 32 bit or 64 bit?  Thanks.	['unanswerable', 'no', 'unanswerable', '32', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000018.jpg	answer en What is the computer doing?	['rebooting', 'repair mode', 'unanswerable', 'looks like rebooting', 'bios', 'booting up', 'loading', 'unanswerable', 'starting up', 'loading']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000019.jpg	answer en What is the tag number?	['unanswerable', '1545', '1545', 'unanswerable', 'pp41l', 'unanswerable', 'model #: pp41l', 'unanswerable', 'unanswerable', '1545']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000020.jpg	answer en What does this sign say?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000021.jpg	answer en What is this color and pattern? There's some sort of pattern on my left chest there. Describe. 	['plain white uspa logo in gold', 'emblem polo rider initials uspa', 'brown uspa', 'brown white uspa', 'orange polo logo', 'red polo association brand logo', 'red uspa letters hiking man', 'white us polo', 'brown polo', 'brown on white polo rider letters']	white brown
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000022.jpg	answer en Can you tell what this is?	['bottle something dropper lid', 'unanswerable', 'bottle meds', 'some kind drops', 'dropper bottle', 'medicine', 'dropper bottle', 'yes', 'nose drops', 'bottle dropper']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000023.jpg	answer en Can you tell me what the error message is on the Windows screen?	['unanswerable', 'starting windows', 'starting windows', 'no', 'starting windows', 'unanswerable', 'no error windows starting up', 'no', 'starting windows', 'no error']	no
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000024.jpg	answer en Sometimes it does this too.  It's great when it works, but when it doesn't, it's annoying.	['doing disk check', 'unanswerable', 'check disk', 'unanswerable', 'unanswerable', 'computer update', 'error message on computer', 'unanswerable', 'disk check', 'chkdsk running']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000025.jpg	answer en I was wondering how ominous the sky is looking here at the northwest.	['fairly but could be worse', 'dark stormy', 'dark cloudy', 'unanswerable', 'possible rain', 'very ominous', 'looks pretty cloudy', 'very', 'ominous', 'looks like rain']	very
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000026.jpg	answer en Can you tell me what these are please?	['tablets', 'no i cant', 'pills', 'pills', 'unanswerable', 'tablets', 'citalopram 20mg tablets', '20 mg tablets something', 'unanswerable', 'unanswerable']	pills
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000027.jpg	answer en What type of pills are these?	['medication', 'capsule', 'unanswerable', 'vitamins', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000028.jpg	answer en Is this a woman?>	['yes', 'unanswerable', 'yes', 'yes', 'yes', 'yes', 'unanswerable', 'yes', 'unanswerable', 'yes']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000029.jpg	answer en What does it say?	['unanswerable', 'unanswerable', 'quit', 'for while force quit', 'unanswerable', 'for while quit', 'quit', 'quit', 'unanswerable', 'ond for while rce quit']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000030.jpg	answer en What does that money say?	['unanswerable', 'puffy taco place tejano plate hamburger combo fish plate shrimp plate', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000031.jpg	answer en Can anyone tell me what's actually on the screen of the laptop?	['unanswerable', 'recovery screen some kind', 'samsung recovery solution', 'unanswerable', 'samsung recovery', 'unanswerable', 'unanswerable', 'recovery', 'recovery solution', 'recovery solution screen']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000032.jpg	answer en Can you tell me what this is a picture of?	['unanswerable', 'computer screen', 'web browser', 'unanswerable', 'computer screen', 'unanswerable', 'computer screen', 'splitscreen', 'computer screen', 'unanswerable']	computer screen
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000033.jpg	answer en Can you read the bottle on the screen?	['unanswerable', 'no', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no']	no
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000034.jpg	answer en How big do you think my TV is? Thank you.	['unanswerable', '32 inches', '27 inches', 'unanswerable', '22 inch', '20 inch', '30 inches', '15 inches', '32 inch', '30 inch']	32 inch
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000035.jpg	answer en What does this note say?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
