image,culture,viz_selected_caption,corrected_caption,indicator,comment
VizWiz_train_00013020.jpg,US,Back of a box of Smart Ones frozen food laying on a table.,Back of a box of Smart Ones frozen food laying on a table.,"food brand, temperature in Fahrenheit","Smart Ones products, including frozen breakfasts, snacks, entrées, and desserts, are produced in the U.S. and sold in the U.S. and Canada by The Kraft Heinz Company."
VizWiz_train_00009968.jpg,US,A grey and white food dehydrator with a turnable knob on the top.,A grey and white food dehydrator with a turnable knob on the top.,item brand,NESCO offers a variety of food dehydrators sold in the U.S.
VizWiz_train_00000186.jpg,US,A hand holding a Gerber baby food package with meat and apples pictures on it.,A hand holding a Gerber baby food package with meat and apples pictures on it.,food brand,"The Gerber Baby is the trademark logo of the Gerber Products Company, an American purveyor of baby food and baby products."
VizWiz_train_00004206.jpg,UK,Can of Tesco cat food with duck and heart,Can of Tesco cat food with duck and heart.,food brand,"Tesco is a British multinational groceries and general merchandise retailer headquartered in Welwyn Garden City, England."
VizWiz_train_00010940.jpg,UK,Part of a box of Purina dog food on a dark speckled corian counter and part of the torso of someone wearing a green top.,Part of a box of Purina dog food on a dark speckled corian counter and part of the torso of someone wearing a green top.,food brand,Purina is a pet food brand orinated in UK and shipped worldwide
VizWiz_train_00001431.jpg,Asia,"A can of some type of food with text in Chinese and some other languages, and some pots in background covered in cloth.","The back part of a can of lychee with text in Chinese, and Thai and a german proverb. There are some pots in background covered in cloth.",multi-lingual,"English text with German Proverb, Chinese and Thai text. It is probably a lychee in syrup can."
VizWiz_train_00005551.jpg,EU,"A package for a food product with a photo of the food item and the words ""half price"" written on it",A package of Nume food product which looks like chili in red sauce with vegetables and minced meat. It could also be vegeterian fake meat. There is a sticker on top of the food picture saying half price.,food brand,Nume is a food company based in Europe providing low-calorie meals and beverages. The picture looks like chili with veggies and probably minced meat in red sauce. The picture can be found on pinterest.
VizWiz_train_00016989.jpg,Australia,"A variety of canned foods like Edgell cream corn, SPC peaches and a cat food Whiskas","A variety of canned foods like Edgell cream corn, SPC peaches and a cat food Whiskas placed in a cupboard.",food brand,Edgell is an international food and agricultural company from Australia. SPC (Shepparton Preserving Company) Ardmona is an Australian producer of packed fruit and vegetables. Whiskas is produced by Whiskas Australia – a company that has been making cat foods since 1958. 
VizWiz_val_00006423.jpg,UK,"A red can with images of food, label reads saxa","A red contained of salt that has images of food, label reads saxa",food brand,"Saxa is a brand of herbs, spices, salt and pepper in the United Kingdom that was introduced in 1907."
VizWiz_train_00023166.jpg,US,Box of frozen Chinese dinner with shrimp and vegetables by Tai Pei,Close-up of a box of frozen Chinese dinner with shrimp and vegetables by Tai Pei,food brand,Tai Pei is a US based brand of savory Asian meals based in North America.
VizWiz_train_00004050.jpg,US,Cat food from fancy feast in the flavor of flaked tuna.,A package of cat food from Fancy Feast Purina in the flavor of flaked tuna.,food brand,"Fancy Feast is a wet cat food selection by Purina, an American subsidiary of the Swiss corporation Nestlé. Purina logo is visible on the image."
VizWiz_train_00020390.jpg,US,A can of alpo dog food sits on the arm of a piece of furniture,A can of Purina ALPO Chop House wet dog food in filet mignon flavor cooked in savory juices. The package says it is a tender meaty recipe.,food brand,"Alpo is a wet dog food selection by Purina, an American subsidiary of the Swiss corporation Nestlé. Purina logo is visible on the image."
VizWiz_train_00020467.jpg,US,"A bag of grain free cat food, fish flavored.","A bag of grain free cat food, with trout and salmon flavor for all life stages diet by Taste of the Wild.",food brand,"Taste of the Wil is made by the US-based, family-owned company of Diamond Pet Foods."
VizWiz_val_00001182.jpg,US,A bag of sweet potato tortilla chips from the brand Food Should Taste Good.,A bag of sweet potato tortilla chips from the brand Food Should Taste Good.,food brand,"Food Should Taste Good is a company founded in 2006 and is based in Needham Heights, Massachusetts."
VizWiz_train_00016865.jpg,US-China,"An advertising flyer for food from the eastern winds, Chinese food restaurant.","An advertising flyer for food from the eastern winds, Chinese food restaurant.",location brand,"Eastern Winds is a Chinese restaurant in Fremont, CA, USA."
VizWiz_train_00005660.jpg,US,A small piece of paper consisting an advertisement for Bakery Cafe located at the Hyatt Place.,"A small piece of paper consisting an advertisement for Bakery Cafe located at the Hyatt Place, ",location brand,Hyat Place is a hotel/resort based in the US.
VizWiz_train_00011323.jpg,UK,"A small box has ""World SIM Pack: Making your world a smaller place"" written on its exterior.","A SIM pack by Pack Mobile in purple and white colors that has ""World SIM Pack: Making your world a smaller place"" written on its exterior.",item brand,Talkmobile is a mobile virtual network operator operating in the United Kingdom on the Vodafone network.
VizWiz_train_00016300.jpg,"Australia, Russia",A package of beef stroganoff is on top of a table.,A red package of beef stroganoff from Life n Easy is on top of a table. It is red and has a picture of the meal.,food brand,"Lite n' Easy is a fresh meal delivery service designed for weight loss, weight and time management. Beef stroganoff or beef stroganov is a Russian dish of sautéed pieces of beef in a sauce of mustard and smetana (sour cream). "
VizWiz_train_00000136.jpg,US,A can of Great Value Golden Sweet Whole Kernel corn with a white label and an image of the product.,A can of Great Value Golden Sweet Whole Kernel corn with a white label and an image of the product.,food brand,"Great Value is a brand frozen vegetables provided by Walmart, US."
VizWiz_train_00015099.jpg,Canada,A  five dollar Canadian bill with people playing ice hockey on the front,A  five dollar Canadian bill with people playing ice hockey on the front. It is on top of a table place mat.,currency,"Canadian Currency canadia, issued in March 2002 still valid in 2023"
VizWiz_train_00003707.jpg,US,Coupon for free Whataburger with purchase of a whatameal.,Coupon for free Whataburger with purchase of a whatameal. It also provides information about the cashier use quich key.,food brand,"Whataburger is provided by Clutch Deliveries, which specializes in Tuscaloosa late night food delivery & last-minute essentials."
VizWiz_train_00016688.jpg,Israel,A plastic two liter bottle of Coca Cola soda.,A plastic two liter bottle of Coca Cola soda with the logo and letters in Hebrew.,food brand,The Coca Cola logo and nutrition details are in Hebrew.
VizWiz_train_00013223.jpg,Australia,A microwave frozen dinner called Fisherman's pie on a place mat with river rocks pictured on it.,A microwave frozen dinner called Fisherman's pie from Life n Easy. It is on a place mat with river rocks pictured on it.,food brand,"Lite n' Easy is a fresh meal delivery service designed for weight loss, weight and time management."
VizWiz_val_00004196.jpg,US,A package of mild cheddar cheese is laying on a wooden surface next to someone's hand.,A package of mild cheddar cheese by Everyday Value is laying on a wooden surface next to someone's hand.,food brand,Everyday Value is a food brand sold mostly in Wholefoods supermakets in the US.
VizWiz_train_00000697.jpg,US,A coupon book from Target is on a table next to a crumpled up napkin and a dirty plate.,A coupon book from Target is on a table next to a crumpled up napkin and a dirty plate.,food brand,"Target Corporation is an American retail corporation that operates a chain of discount department stores and hypermarkets, headquartered in Minneapolis, Minnesota."
VizWiz_train_00005540.jpg,Israel ,A brass menorah unlit with all 9 candles in place,A brass menorah unlit with all 9 candles in place used in the Jewish celebration of Hanukkah.,item,"A Hanukkah menorah, or hanukkiah, is a nine-branched candelabrum lit during the eight-day Jewish holiday of Hanukkah."
VizWiz_train_00016288.jpg,Australia,Front of a Chicken with Satay sauce microwave meal showing the heating instructions and the nutritional facts.,Front of a Chicken with Satay sauce microwave meal showing the heating instructions and the nutritional facts on a place mat.,food brand,"Lite n' Easy is a fresh meal delivery service designed for weight loss, weight and time management."
VizWiz_train_00017202.jpg,Signapore,A one dollar bill from Singapore laying on a flat wood surface.,"A one dollar bill from Singapore laying on a flat wood surface. It is the back design that depicts Sentosa Satellite Earth Station and a decorative floral motif which is Singapore's national flower, the Vanda Miss Joaquim.",currency,"The Singapore Monetary Authority issued Singapore Dollar banknotes in 12 different denominations, including this 1 Singapore Dollar banknote (Ships series). The Singapore Monetary Authority began printing these one-dollar banknotes in 1987. They were taken out of circulation in 1999. The obverse depicts Sha Chuan ships (traditional Chinese Junks). Word ‘Singapore’ is written in Malaysian, Chinese, Tamil and English. The reverse depicts Sentosa Satellite Earth Station and a decorative floral motif, Singapore's national flower, the Vanda Miss Joaquim."
VizWiz_train_00016587.jpg,US,A United States currency note worth One US dollar.,A United States one dollar currency note with a portrait of George Washington in the center.,currency,"The new Congress's Coinage Act of 1792 established the United States dollar as the country's standard unit of money, creating the United States Mint tasked with producing and circulating coinage"
VizWiz_val_00002858.jpg,Canada,Five Canadian Dollar Bill on a multi colored placemat and red and white checkered tablecloth,Five Canadian Dollar Bill on a multi colored placemat and red and white checkered tablecloth. It features a portrait of Sir Wilfrid Laurier engraved by Yves Baril.,currency,"The most recent Canadian five-dollar note, part of the Frontier series, is predominantly blue and was introduced 7 November 2013."
VizWiz_train_00014187.jpg,Australia,A bag of Smith's potato chips rests on a red rubber mat on a white counter.,A bag of Smith's potato chips with original taste rests on a red rubber mat on a white counter.,brand item,"The Smith's Snackfood Company is a British-Australian snack food brand owned by the American multinational food, snack, and beverage corporation PepsiCo. For the last 5 years can me mostly found in australian supermakets."
VizWiz_train_00002599.jpg,Scotland,A bottle Dewar's of Scotch Whisky sitting on a white shelf.,A bottle Dewar's of Scotch Whisky sitting on a white shelf.,item brand,Dewar's is a brand of blended Scotch whisky produced by Bacardi in Scotland. Dewar's.
VizWiz_train_00013878.jpg,US,An open blue can of Bud Light sitting on a kitchen countertop.,An open blue can of Bud Light beer sitting on a kitchen countertop.,item brand,Bud Light has been America's best-selling beer since 2001.
VizWiz_train_00006151.jpg,Germany,a plain white paper showing WIRTSCHAFTS INFORMATIK written boldly on it,"A plain white paper showing in German WIRTSCHAFTS INFORMATIK written boldly on it, which translates to Business informatics.",item language,"Business informatics is a discipline combining economics, business, and concepts of computer science. The picture is probably from a German University leaflet."
VizWiz_train_00023685.jpg,Denmark,This image does not have annotations for Reasons Why Answers Differ.,"The cover of a book with the title ""Smil, Smilja"" saying in danish ""Youth Novel about the war in Bosnia"". It is probably borrowed from a library since it has some catalog stickers and information.",item language,"After searching on google there seems to be a danish book publisher called FORLAGET MOSKITO (publisher Moskito). It probably does not exist as fo 2024, so the book must be old."
VizWiz_train_00020459.jpg,UK,a 200ml bottle of Hackett London body wash.,"A 200ml bottle of Hackett London body wash, that says ""Made in England, essential British kit"".",item brand,"Hackett Limited is a British multi-channel retailer of clothing for men and boys, with a broad range of apparel and accessories."
